ORPHAcode,Disorder name,Disorder type,Gene symbol,Gene name,Gene type,Gene synonyms,Locus,Validation source
90024,"Deafness with labyrinthine aplasia, microtia, and microdontia",Malformation syndrome,FGF3,fibroblast growth factor 3,gene with protein product,"['HBGF-3', 'INT-2 proto-oncogene protein', 'V-INT2 murine mammary tumor virus integration site oncogene homolog', 'murine mammary tumor virus integration site 2, mouse', 'oncogene INT2']","[{'GeneLocus': '11q13.3', 'LocusKey': 1}]",22993869[PMID]
90026,Primary erythromelalgia,Disease,SCN9A,sodium voltage-gated channel alpha subunit 9,gene with protein product,"['ETHA', 'NE-NA', 'NENA', 'Nav1.7', 'PN1']","[{'GeneLocus': '2q24.3', 'LocusKey': 1}]",15958509[PMID]
90026,Primary erythromelalgia,Disease,SCN10A,sodium voltage-gated channel alpha subunit 10,gene with protein product,"['Nav1.8', 'PN3', 'SNS', 'hPN3', 'peripheral nerve sodium channel 3', 'sensory neuron sodium channel']","[{'GeneLocus': '3p22.2', 'LocusKey': 1}]",
90026,Primary erythromelalgia,Disease,SCN11A,sodium voltage-gated channel alpha subunit 11,gene with protein product,"['NaN', 'Nav1.9', 'SNS-2']","[{'GeneLocus': '3p22.2', 'LocusKey': 1}]",
90030,Hemolytic anemia due to glutathione reductase deficiency,Disease,GSR,glutathione-disulfide reductase,gene with protein product,['glutathione S-reductase'],"[{'GeneLocus': '8p12', 'LocusKey': 1}]",17185460[PMID]
90031,Non-spherocytic hemolytic anemia due to hexokinase deficiency,Disease,HK1,hexokinase 1,gene with protein product,,"[{'GeneLocus': '10q22.1', 'LocusKey': 1}]",12393545[PMID]
90039,Hemoglobin D disease,Disease,HBB,hemoglobin subunit beta,gene with protein product,"['CD113t-C', 'beta-globin']","[{'GeneLocus': '11p15.4', 'LocusKey': 1}]",11757720[PMID]_25332633[PMID]
90042,Primary familial polycythemia,Disease,EPOR,erythropoietin receptor,gene with protein product,['EPO-R'],"[{'GeneLocus': '19p13.2', 'LocusKey': 1}]",9359528[PMID]_9192789[PMID]
90044,Familial pseudohyperkalemia,Disease,ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group),gene with protein product,"['ATP-binding cassette half-transporter', 'EST45597', 'MTABC3', 'umat']","[{'GeneLocus': '2q35', 'LocusKey': 1}]",23180570[PMID]_24947683[PMID]
90045,Hereditary folate malabsorption,Disease,SLC46A1,solute carrier family 46 member 1,gene with protein product,"['HCP1', 'HsPCFT', 'MGC9564', 'PCFT', 'hPCFT', 'heme carrier protein 1', 'proton-coupled folate transporter']","[{'GeneLocus': '17q11.2', 'LocusKey': 1}]",
90050,Retinopathy of prematurity,Disease,LRP5,LDL receptor related protein 5,gene with protein product,"['BMND1', 'EVR4', 'HBM', 'LR3', 'OPS', 'OPTA1', 'VBCH2']","[{'GeneLocus': '11q13.2', 'LocusKey': 1}]",23441120[PMID]
90050,Retinopathy of prematurity,Disease,FZD4,frizzled class receptor 4,gene with protein product,['CD344'],"[{'GeneLocus': '11q14.2', 'LocusKey': 1}]",23441120[PMID]
90050,Retinopathy of prematurity,Disease,NDP,norrin cystine knot growth factor NDP,gene with protein product,['norrin'],"[{'GeneLocus': 'Xp11.3', 'LocusKey': 1}]",20301506[PMID]
90117,"Hereditary motor and sensory neuropathy, Okinawa type",Disease,TFG,trafficking from ER to golgi regulator,gene with protein product,"['FLJ36137', 'SPG57', 'TF6']","[{'GeneLocus': '3q12.2', 'LocusKey': 1}]",22883144[PMID]
90118,Severe early-onset axonal neuropathy due to MFN2 deficiency,Disease,MFN2,mitofusin 2,gene with protein product,"['CMT2A2', 'CPRP1', 'KIAA0214', 'MARF']","[{'GeneLocus': '1p36.22', 'LocusKey': 1}]",
90120,Hereditary motor and sensory neuropathy type 6,Disease,SLC25A46,solute carrier family 25 member 46,gene with protein product,['Mitochondrial outer membrane protein'],"[{'GeneLocus': '5q22.1', 'LocusKey': 1}]",26168012[PMID]
90120,Hereditary motor and sensory neuropathy type 6,Disease,MFN2,mitofusin 2,gene with protein product,"['CMT2A2', 'CPRP1', 'KIAA0214', 'MARF']","[{'GeneLocus': '1p36.22', 'LocusKey': 1}]",16437557[PMID]
90153,Mandibuloacral dysplasia with type A lipodystrophy,Clinical subtype,LMNA,lamin A/C,gene with protein product,"['HGPS', 'MADA', 'mandibuloacral dysplasia type A', 'progerin']","[{'GeneLocus': '1q22', 'LocusKey': 1}]",12075506[PMID]
90154,Mandibuloacral dysplasia with type B lipodystrophy,Clinical subtype,ZMPSTE24,zinc metallopeptidase STE24,gene with protein product,"['CAAX prenyl protease 1 homolog', 'FACE-1', 'HGPS', 'Hutchinson-Gilford progeria syndrome', 'PRO1', 'STE24', 'Ste24p']","[{'GeneLocus': '1p34.2', 'LocusKey': 1}]",12913070[PMID]_18435794[PMID]
90186,Meige disease,Disease,EPHB4,EPH receptor B4,gene with protein product,['Tyro11'],"[{'GeneLocus': '7q22.1', 'LocusKey': 1}]",34231312[PMID]
90307,Parkes Weber syndrome,Disease,RASA1,RAS p21 protein activator 1,gene with protein product,"['CM-AVM', 'GAP', 'Ras GTPase-activating protein 1', 'capillary malformation-arteriovenous malformation', 'p120', 'p120 RAS GTPase activating protein', 'p120GAP', 'p120RASGAP']","[{'GeneLocus': '5q14.3', 'LocusKey': 1}]",18446851[PMID]_21348050[PMID]
90308,Klippel-Trénaunay syndrome,Disease,AGGF1,angiogenic factor with G-patch and FHA domains 1,gene with protein product,"['FLJ10283', 'GPATC7', 'GPATCH7', 'HSU84971', 'VG5Q']","[{'GeneLocus': '5q13.3', 'LocusKey': 1}]",18564129[PMID]
90308,Klippel-Trénaunay syndrome,Disease,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",gene with protein product,['PI3K'],"[{'GeneLocus': '3q26.32', 'LocusKey': 1}]",26268729[PMID]
90321,Cockayne syndrome type 1,Clinical subtype,ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit",gene with protein product,"['FANCQ', 'RAD1', 'xeroderma pigmentosum, complementation group F']","[{'GeneLocus': '16p13.12', 'LocusKey': 1}]",23623389[PMID]
90321,Cockayne syndrome type 1,Clinical subtype,ERCC6,"ERCC excision repair 6, chromatin remodeling factor",gene with protein product,"['ARMD5', 'CSB', 'Cockayne syndrome B protein', 'RAD26']","[{'GeneLocus': '10q11.23', 'LocusKey': 1}]",20301516[PMID]
90321,Cockayne syndrome type 1,Clinical subtype,ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit",gene with protein product,['CSA'],"[{'GeneLocus': '5q12.1', 'LocusKey': 1}]",20301516[PMID]
90322,Cockayne syndrome type 2,Clinical subtype,ERCC6,"ERCC excision repair 6, chromatin remodeling factor",gene with protein product,"['ARMD5', 'CSB', 'Cockayne syndrome B protein', 'RAD26']","[{'GeneLocus': '10q11.23', 'LocusKey': 1}]",20301516[PMID]
90322,Cockayne syndrome type 2,Clinical subtype,ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit",gene with protein product,['CSA'],"[{'GeneLocus': '5q12.1', 'LocusKey': 1}]",20301516[PMID]
90322,Cockayne syndrome type 2,Clinical subtype,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",gene with protein product,['RAD10'],"[{'GeneLocus': '19q13.32', 'LocusKey': 1}]",23623389[PMID]
90324,Cockayne syndrome type 3,Clinical subtype,ERCC6,"ERCC excision repair 6, chromatin remodeling factor",gene with protein product,"['ARMD5', 'CSB', 'Cockayne syndrome B protein', 'RAD26']","[{'GeneLocus': '10q11.23', 'LocusKey': 1}]",20301516[PMID]
90324,Cockayne syndrome type 3,Clinical subtype,ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit",gene with protein product,['CSA'],"[{'GeneLocus': '5q12.1', 'LocusKey': 1}]",20301516[PMID]
90340,Blau syndrome,Disease,NOD2,nucleotide binding oligomerization domain containing 2,gene with protein product,"['BLAU', 'CD', 'CLR16.3', 'NLR family, CARD domain containing 2', 'NLRC2', 'NOD-like receptor C2', 'PSORAS1', 'nucleotide-binding oligomerization domain, leucine rich repeat and CARD domain containing 2']","[{'GeneLocus': '16q12.1', 'LocusKey': 1}]",
90342,Xeroderma pigmentosum variant,Disease,POLH,DNA polymerase eta,gene with protein product,"['RAD30A', 'XP-V']","[{'GeneLocus': '6p21.1', 'LocusKey': 1}]",24130121[PMID]
90348,Autosomal dominant cutis laxa,Disease,ALDH18A1,aldehyde dehydrogenase 18 family member A1,gene with protein product,"['P5CS', 'delta-1-pyrroline-5-carboxylate synthase']","[{'GeneLocus': '10q24.1', 'LocusKey': 1}]",26320891[PMID]
90348,Autosomal dominant cutis laxa,Disease,FBLN5,fibulin 5,gene with protein product,"['ARMD3', 'DANCE', 'EVEC', 'UP50', 'developmental arteries and neural crest EGF-like', 'embryonic vascular EGF-like repeat-containing protein']","[{'GeneLocus': '14q32.12', 'LocusKey': 1}]",12618961[PMID]_20301756[PMID]
90348,Autosomal dominant cutis laxa,Disease,ELN,elastin,gene with protein product,"['SVAS', 'WBS', 'WS', 'Williams-Beuren syndrome', 'supravalvular aortic stenosis', 'tropoelastin']","[{'GeneLocus': '7q11.23', 'LocusKey': 1}]",16085695[PMID]_18348261[PMID]
90349,Autosomal recessive cutis laxa type 1,Disease,EFEMP2,EGF containing fibulin extracellular matrix protein 2,gene with protein product,"['FBLN4', 'UPH1', 'fibulin 4']","[{'GeneLocus': '11q13.1', 'LocusKey': 1}]",16685658[PMID]_19664000[PMID]
90349,Autosomal recessive cutis laxa type 1,Disease,FBLN5,fibulin 5,gene with protein product,"['ARMD3', 'DANCE', 'EVEC', 'UP50', 'developmental arteries and neural crest EGF-like', 'embryonic vascular EGF-like repeat-containing protein']","[{'GeneLocus': '14q32.12', 'LocusKey': 1}]",22829427[PMID]
90349,Autosomal recessive cutis laxa type 1,Disease,LTBP1,latent transforming growth factor beta binding protein 1,gene with protein product,"['TGF-beta1-BP-1', 'Transforming growth factor beta-1-binding protein 1']","[{'GeneLocus': '2p22.3', 'LocusKey': 1}]",33991472[PMID]
90354,Brittle cornea syndrome,Disease,ZNF469,zinc finger protein 469,gene with protein product,"['KIAA1858', 'Zfp469']","[{'GeneLocus': '16q24.2', 'LocusKey': 1}]",19661234[PMID]_20938016[PMID]
90354,Brittle cornea syndrome,Disease,PRDM5,PR/SET domain 5,gene with protein product,['PFM2'],"[{'GeneLocus': '4q27', 'LocusKey': 1}]",21664999[PMID]
90368,Hypotrichosis simplex of the scalp,Disease,KRT74,keratin 74,gene with protein product,"['K6IRS4', 'KRT5C', 'KRT6IRS4']","[{'GeneLocus': '12q13.13', 'LocusKey': 1}]",21188418[PMID]
90368,Hypotrichosis simplex of the scalp,Disease,CDSN,corneodesmosin,gene with protein product,['D6S586E'],"[{'GeneLocus': '6p21.33', 'LocusKey': 1}]",12754508[PMID]
90389,Telangiectasia macularis eruptiva perstans,Clinical subtype,KIT,"KIT proto-oncogene, receptor tyrosine kinase",gene with protein product,"['C-Kit', 'CD117', 'SCFR', 'mast/stem cell growth factor receptor Kit']","[{'GeneLocus': '4q12', 'LocusKey': 1}]",
90625,Rare X-linked non-syndromic sensorineural deafness type DFN,Etiological subtype,PRPS1,phosphoribosyl pyrophosphate synthetase 1,gene with protein product,"['CMTX5', 'DFNX1', 'PPRibP', 'PRS I', 'PRS-I', 'ribose-phosphate diphosphokinase 1']","[{'GeneLocus': 'Xq22.3', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90625,Rare X-linked non-syndromic sensorineural deafness type DFN,Etiological subtype,COL4A6,collagen type IV alpha 6 chain,gene with protein product,,"[{'GeneLocus': 'Xq22.3', 'LocusKey': 1}]",23714752[PMID]
90625,Rare X-linked non-syndromic sensorineural deafness type DFN,Etiological subtype,SMPX,small muscle protein X-linked,gene with protein product,"['Chisel', 'Csl', 'DFNX4']","[{'GeneLocus': 'Xp22.12', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,KITLG,KIT ligand,gene with protein product,"['DFNA69', 'FPH2', 'KL-1', 'Kitl', 'SCF', 'SF', 'SLF', 'familial progressive hyperpigmentation 2', 'mast cell growth factor', 'steel factor', 'stem cell factor']","[{'GeneLocus': '12q21.32', 'LocusKey': 1}]",26522471[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,CENPP,centromere protein P,gene with protein product,"['CENP-P', 'RP11-19J3.3']","[{'GeneLocus': '9q22.31', 'LocusKey': 1}]",36071244[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,USP48,ubiquitin specific peptidase 48,gene with protein product,"['FLJ11328', 'FLJ20103', 'FLJ23054', 'FLJ23277', 'MGC14879']","[{'GeneLocus': '1p36.12', 'LocusKey': 1}]",34059922[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,SSBP1,single stranded DNA binding protein 1,gene with protein product,"['SSBP', 'mtSSB']","[{'GeneLocus': '7q34', 'LocusKey': 1}]",29182774[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,TRRAP,transformation/transcription domain associated protein,gene with protein product,"['PAF400', 'TR-AP', 'Tra1']","[{'GeneLocus': '7q22.1', 'LocusKey': 1}]",31231791[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,PDE1C,phosphodiesterase 1C,gene with protein product,['Hcam3'],"[{'GeneLocus': '7p14.3', 'LocusKey': 1}]",29860631[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,ATP11A,ATPase phospholipid transporting 11A,gene with protein product,"['ATPIH', 'ATPIS', 'KIAA1021', 'Phospholipid-translocating ATPase', 'Potential phospholipid-transporting ATPase IH', 'phospholipid-translocating ATPase', 'potential phospholipid-transporting ATPase IH']","[{'GeneLocus': '13q34', 'LocusKey': 1}]",35278131[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,SLC44A4,solute carrier family 44 member 4,gene with protein product,"['CTL4', 'DFNA72', 'FLJ14491', 'NG22', 'TPPT']","[{'GeneLocus': '6p21.33', 'LocusKey': 1}]",28013291[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,POU4F3,POU class 4 homeobox 3,gene with protein product,['BRN3C'],"[{'GeneLocus': '5q32', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,SIX1,SIX homeobox 1,gene with protein product,,"[{'GeneLocus': '14q23.1', 'LocusKey': 1}]",20301607[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,TECTA,tectorin alpha,gene with protein product,,"[{'GeneLocus': '11q23.3', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,TMC1,transmembrane channel like 1,gene with protein product,,"[{'GeneLocus': '9q21.13', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,WFS1,wolframin ER transmembrane glycoprotein,gene with protein product,"['DIDMOAD', 'WFS']","[{'GeneLocus': '4p16.1', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,COCH,cochlin,gene with protein product,['COCH-5B2'],"[{'GeneLocus': '14q12', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,COL11A2,collagen type XI alpha 2 chain,gene with protein product,['HKE5'],"[{'GeneLocus': '6p21.32', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,GSDME,gasdermin E,gene with protein product,"['ICERE-1', 'inversely correlated with estrogen receptor expression']","[{'GeneLocus': '7p15.3', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,COL11A1,collagen type XI alpha 1 chain,gene with protein product,"['CO11A1', 'STL2', 'collagen XI, alpha-1 polypeptide']","[{'GeneLocus': '1p21.1', 'LocusKey': 1}]",30245514[PMID]_33605226[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,EYA4,EYA transcriptional coactivator and phosphatase 4,gene with protein product,,"[{'GeneLocus': '6q23.2', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,GJB2,gap junction protein beta 2,gene with protein product,"['CX26', 'NSRD1', 'connexin 26']","[{'GeneLocus': '13q12.11', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,GJB3,gap junction protein beta 3,gene with protein product,"['CX31', 'connexin 31']","[{'GeneLocus': '1p34.3', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,GJB6,gap junction protein beta 6,gene with protein product,"['CX30', 'EDH', 'HED', 'connexin 30']","[{'GeneLocus': '13q12.11', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,KCNQ4,potassium voltage-gated channel subfamily Q member 4,gene with protein product,['Kv7.4'],"[{'GeneLocus': '1p34.2', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,MYH14,myosin heavy chain 14,gene with protein product,"['FLJ13881', 'KIAA2034', 'MHC16', 'MYH17']","[{'GeneLocus': '19q13.33', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,MYH9,myosin heavy chain 9,gene with protein product,"['EPSTS', 'FTNS', 'MHA', 'NMHC-II-A', 'NMMHCA', 'nonmuscle myosin heavy chain II-A']","[{'GeneLocus': '22q12.3', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,MYO6,myosin VI,gene with protein product,['KIAA0389'],"[{'GeneLocus': '6q14.1', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,MYO7A,myosin VIIA,gene with protein product,['NSRD2'],"[{'GeneLocus': '11q13.5', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,CCDC50,coiled-coil domain containing 50,gene with protein product,['Ymer'],"[{'GeneLocus': '3q28', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,GRHL2,grainyhead like transcription factor 2,gene with protein product,"['BOM', 'FLJ13782', 'brother-of-MGR']","[{'GeneLocus': '8q22.3', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,CRYM,crystallin mu,gene with protein product,"['DFNA40', 'mu-crystallin', 'thiomorpholine-carboxylate dehydrogenase']","[{'GeneLocus': '16p12.2', 'LocusKey': 1}]",24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,ACTG1,actin gamma 1,gene with protein product,,"[{'GeneLocus': '17q25.3', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,SLC17A8,solute carrier family 17 member 8,gene with protein product,"['VGLUT3', 'vesicular glutamate transporter 3']","[{'GeneLocus': '12q23.1', 'LocusKey': 1}]",20301607[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,MIR96,microRNA 96,Non-coding RNA,['hsa-mir-96'],"[{'GeneLocus': '7q32.2', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,TBC1D24,TBC1 domain family member 24,gene with protein product,"['DFNA65', 'KIAA1171', 'TBC/LysM-associated domain containing 6', 'TLDC6', 'deafness, autosomal dominant 65', 'skywalker homolog (Drosophila)']","[{'GeneLocus': '16p13.3', 'LocusKey': 1}]",24729547[PMID]_24729539[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,TJP2,tight junction protein 2,gene with protein product,"['Friedreich ataxia region gene X104 (tight junction protein ZO-2)', 'X104', 'ZO-2', 'ZO2', 'zona occludens 2']","[{'GeneLocus': '9q21.11', 'LocusKey': 1}]",20301607[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,CEACAM16,"CEA cell adhesion molecule 16, tectorial membrane component",gene with protein product,['DFNA4B'],"[{'GeneLocus': '19q13.31-q13.32', 'LocusKey': 1}]",21368133[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,DIAPH3,diaphanous related formin 3,gene with protein product,"['AN', 'DRF3', 'FLJ34705', 'NSDAN']","[{'GeneLocus': '13q21.2', 'LocusKey': 1}]",20624953[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,DIABLO,diablo IAP-binding mitochondrial protein,gene with protein product,"['DFNA64', 'DIABLO-S', 'FLJ10537', 'FLJ25049', 'SMAC', 'second mitochondria-derived activator of caspase']","[{'GeneLocus': '12q24.31', 'LocusKey': 1}]",21722859[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,P2RX2,purinergic receptor P2X 2,gene with protein product,['P2X2'],"[{'GeneLocus': '12q24.33', 'LocusKey': 1}]",23345450[PMID]_20301607[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,TNC,tenascin C,gene with protein product,"['MGC167029', 'TN', 'hexabrachion (tenascin)']","[{'GeneLocus': '9q33.1', 'LocusKey': 1}]",23936043[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,MYO1C,myosin IC,gene with protein product,"['MyoIC', 'NMI', 'Unconventional myosin-Ic', 'myr2']","[{'GeneLocus': '17p13.3', 'LocusKey': 1}]",19027848[PMID]_24148127[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,OSBPL2,oxysterol binding protein like 2,gene with protein product,"['DFNA67', 'KIAA0772', 'ORP-2']","[{'GeneLocus': '20q13.33', 'LocusKey': 1}]",25077649[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,HOMER2,homer scaffold protein 2,gene with protein product,"['CPD', 'Cupidin', 'DFNA68', 'HOMER-2', 'HOMER-2A', 'HOMER-2B', 'Vesl-2']","[{'GeneLocus': '15q25.2', 'LocusKey': 1}]",25816005[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,MCM2,minichromosome maintenance complex component 2,gene with protein product,"['BM28', 'D3S3194', 'DFNA70', 'KIAA0030', 'cdc19', 'mitotin']","[{'GeneLocus': '3q21.3', 'LocusKey': 1}]",26196677[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,CD164,CD164 molecule,gene with protein product,"['DFNA66', 'Endolyn', 'MGC-24', 'MGC-24v', 'MUC-24', 'Sialomucin core protein 24', 'deafness, autosomal dominant 66', 'multi-glycosylated core protein 24']","[{'GeneLocus': '6q21', 'LocusKey': 1}]",26197441[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,ABCC1,ATP binding cassette subfamily C member 1 (ABCC1 blood group),gene with protein product,"['GS-X', 'glutathione S-conjugate export pump']","[{'GeneLocus': '16p13.11', 'LocusKey': 1}]",31273342[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,PTPRQ,protein tyrosine phosphatase receptor type Q,gene with protein product,['phosphatidylinositol phosphatase PTPRQ'],"[{'GeneLocus': '12q21.31', 'LocusKey': 1}]",29309402[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,PLS1,plastin 1,gene with protein product,"['I-plastin', 'Plastin-1', 'fimbrin']","[{'GeneLocus': '3q23', 'LocusKey': 1}]",31397523[PMID]_30872814[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,MAP1B,microtubule associated protein 1B,gene with protein product,"['MAP5', 'PPP1R102', 'protein phosphatase 1, regulatory subunit 102']","[{'GeneLocus': '5q13.2', 'LocusKey': 1}]",33268592[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,DMXL2,Dmx like 2,gene with protein product,"['DFNA71', 'KIAA0856', 'RC3', 'rabconnectin 3']","[{'GeneLocus': '15q21.2', 'LocusKey': 1}]",27657680[PMID]
90635,Rare autosomal dominant non-syndromic sensorineural deafness type DFNA,Etiological subtype,MYO1A,myosin IA,gene with protein product,"['Brush border myosin I', 'Unconventional myosin-Ia']","[{'GeneLocus': '12q13.3', 'LocusKey': 1}]",
90636,Rare autosomal recessive non-syndromic sensorineural deafness type DFNB,Etiological subtype,PPIP5K2,diphosphoinositol pentakisphosphate kinase 2,gene with protein product,"['CFAP160', 'KIAA0433', 'VIP2']","[{'GeneLocus': '5q21.1', 'LocusKey': 1}]",29590114[PMID]
90636,Rare autosomal recessive non-syndromic sensorineural deafness type DFNB,Etiological subtype,TMEM132E,transmembrane protein 132E,gene with protein product,['DFNB99'],"[{'GeneLocus': '17q12', 'LocusKey': 1}]",25331638[PMID]
90636,Rare autosomal recessive non-syndromic sensorineural deafness type DFNB,Etiological subtype,GRAP,GRB2 related adaptor protein,gene with protein product,,"[{'GeneLocus': '17p11.2', 'LocusKey': 1}]",30610177[PMID]
90636,Rare autosomal recessive non-syndromic sensorineural deafness type DFNB,Etiological subtype,BDP1,"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB",gene with protein product,"['HSA238520', 'KIAA1241', 'KIAA1689', 'TFC5', 'TFIIIB150', 'TFIIIB90']","[{'GeneLocus': '5q13.2', 'LocusKey': 1}]",24312468[PMID]
90636,Rare autosomal recessive non-syndromic sensorineural deafness type DFNB,Etiological subtype,AFG2B,AFG2 AAA ATPase homolog B,gene with protein product,"['FLJ12286', 'MGC5347']","[{'GeneLocus': '15q21.1', 'LocusKey': 1}]",34626583[PMID]
90636,Rare autosomal recessive non-syndromic sensorineural deafness type DFNB,Etiological subtype,CEACAM16,"CEA cell adhesion molecule 16, tectorial membrane component",gene with protein product,['DFNA4B'],"[{'GeneLocus': '19q13.31-q13.32', 'LocusKey': 1}]",29703829[PMID]
90636,Rare autosomal recessive non-syndromic sensorineural deafness type DFNB,Etiological subtype,NARS2,"asparaginyl-tRNA synthetase 2, mitochondrial",gene with protein product,"['FLJ23441', 'SLM5', 'asparagine tRNA ligase 2, mitochondrial (putative)']","[{'GeneLocus': '11q14.1', 'LocusKey': 1}]",25807530[PMID]
